name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0149,0,այո,,,,,5973996,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0150,0,այո,,,,,14027471,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0151,0,այո,,,,,N802900,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0152,0,այո,,,,,"16500308,6500787",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0153,0,այո,,,,,"90666SA00030,90666SA0003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0154,0,այո,,,,,"90672SA0003,90672SA00030,992891053",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0155,0,այո,,,,,"20699808,6502328",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0156,0,այո,,,,,"N803494S,15679091",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0157,0,այո,,,,,"9018904013,906726718110M1,90672671811,90674S0000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0158,0,այո,,,,,"139568676,992650635",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0159,0,այո,,,,,22535007,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0160,0,այո,,,,,"10053388,22542705",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0161,0,այո,,,,,N804583S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0162,0,այո,,,,,"10109689,12337915",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0163,0,այո,,,,,15545202,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0164,0,այո,,,,,"63844D0100,8942211500,94221150",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0165,0,այո,,,,,"6777101010,95005064",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0166,0,այո,,,,,"6295520020,6295512010,9046710077,94848834",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0166NoSeal,0,այո,,,,,5311742010,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0167,0,այո,,,,,"15607165,15953247,15612948",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0168,0,այո,,,,,"10157900,11517803,15993201",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0169,0,այո,,,,,66824W1000,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0170,0,այո,,,,,10153057,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0171,0,այո,,,,,90677SE0003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0172,0,այո,,,,,389144S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0173,0,այո,,,,,OH452KD5,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0174,0,այո,,,,,21039141,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0175,0,այո,,,,,"N30413356A,94198687,90657SA60030,904670707222,59130AA000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0176,0,այո,,,,,383142S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0177,0,այո,,,,,380382,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0178,0,այո,,,,,21077405,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0179,0,այո,,,,,9018904011,,,,,,,,,,,
